Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: SI-2C, Mata Kuliah: Belum ditentukan, Dosen: Iwan Ridwan, Ruang: L4 R.75 [SI]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: SI-2A, Mata Kuliah: Belum ditentukan, Dosen: Iwan Ridwan, Ruang: L4 R.75 [SI]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-4C, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Oman Komarudin, Ruang: L4 R.76 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-4B, Mata Kuliah: Embedded Intelligent Systems, Dosen: Irfan Sriyono Putro, Ruang: L4 R.77 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-2B, Mata Kuliah: Statistika dan Probabilitas, Dosen: Iqbal Maulana, Ruang: L4 R.78 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-6A, Mata Kuliah: Manajemen Proyek Perangkat Lunak, Dosen: Rini Mayasari, Ruang: L4 R.79 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-2A, Mata Kuliah: Pemrograman Berorientasi Objek, Dosen: Purwantoro, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-4E, Mata Kuliah: Sistem Operasi, Dosen: Agung Susilo Yudha Irawan, Ruang: L3 Lab Dasar 2 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-6B, Mata Kuliah: Machine Learning, Dosen: Aries Suharso, Ruang: L3 Lab Lanjut 1 [IF]
Jadwal hari SENIN SESI 1 (07.30-09.10), Kelas: IF-6D, Mata Kuliah: Machine Learning, Dosen: Sofi Defiyanti, Ruang: L3 Lab Lanjut 2 [IF]
Jadwal hari SENIN SESI 2 (10.00-12.30), Kelas: IF-2C, Mata Kuliah: Struktur Data, Dosen: Asep Jamaludin, Ruang: L4 R.76 [IF]
