JADWAL KELAS FASILKOM
[IF] = Informatika | [SI] = Sistem Informasi

=== SENIN ===

SESI 1 (07.30-09.10)
SI-2C | Iwan Ridwan | - | L4 R.75 [SI]
SI-2A | Iwan Ridwan | - | L4 R.75 [SI]
IF-4C | Oman Komarudin | Rekayasa Perangkat Lunak | L4 R.76 [IF]
IF-4B | Irfan Sriyono Putro | Embedded Intelligent Systems | L4 R.77 [IF]
IF-2B | Iqbal Maulana | Statistika dan Probabilitas | L4 R.78 [IF]
IF-6A | Rini Mayasari | Manajemen Proyek Perangkat Lunak | L4 R.79 [IF]
IF-2A | Purwantoro | Pemrograman Berorientasi Objek | L3 Lab Dasar 1 [IF]
IF-4E | Agung Susilo Yudha Irawan | Sistem Operasi | L3 Lab Dasar 2 [IF]
IF-6B | Aries Suharso | Machine Learning | L3 Lab Lanjut 1 [IF]
IF-6D | Sofi Defiyanti | Machine Learning | L3 Lab Lanjut 2 [IF]

SESI 2 (10.00-12.30)
IF-2C | Asep Jamaludin | Struktur Data | L4 R.76 [IF]
IF-4A | Purwantoro | Embedded Intelligent Systems | L4 R.77 [IF]
SI-4A | Khusaeri | Supply Chain Management | L4 R.78 [SI]
IF-6B | Rini Mayasari | Manajemen Proyek Perangkat Lunak | L4 R.79 [IF]
SI-4C | Siska | Bisnis Intelegen | L4 R.80 [SI]
SI-2C | Taufik | Algoritma dan Struktur Data | L3 Lab Dasar 1 [SI]
IF-6E | Sofi Defiyanti | Machine Learning | L3 Lab Dasar 2 [IF]
IF-4B | Kamal Prihandani | Pemrograman Berbasis Web | L3 Lab Lanjut 1 [IF]
IF-6C | Aries Suharso | Machine Learning | L3 Lab Lanjut 2 [IF]
IF-2B | Dr. Umi Nuraini | Budaya Bangsa | L4 R.75 [IF]

SESI 3 (12.30-14.10)
IF-2A | Dr. Umi Nuraini | Budaya Bangsa | L4 R.75 [IF]
SI-4B | Siska | Bisnis Intelegen | L4 R.76 [SI]
SI-4C | Khusaeri | Supply Chain Management | L4 R.77 [SI]
IF-2C | Iqbal Maulana | Statistika dan Probabilitas | L4 R.78 [IF]
SI-6B | Apriade | Karya Tulis Ilmiah | L4 R.79 [SI]
IF-6PIL A | Ratna Mufidah | Big Data | L4 R.80 [IF]
IF-4D | Agung Susilo Yudha Irawan | Sistem Operasi | L3 Lab Dasar 1 [IF]
IF-4F | Dadang Yusup | Pemrograman Berbasis Web | L3 Lab Dasar 2 [IF]
SI-2B | Taufik | Algoritma dan Struktur Data | L3 Lab Lanjut 1 [SI]
SI-4D | Bagja | MLTI | L3 Lab Lanjut 2 [SI]

SESI 4 (14.10-17.30)
IF-2A | Dewi Herlina Sugiarti | Bahasa Indonesia | L4 R.75 [IF]
SI-2C | Khusaeri | Communication Skill | L4 R.79 & L1 R.81 [SI]
SI-4C | Nono | Keamanan Sistem | L4 R.76 [SI]
SI-6B | Apriade | IIMK | L4 R.77 [SI]
IF-6PIL A | Aji Primajaya | Business Intelligence | L4 R.79 [IF]
IF-4F | Agung Susilo Yudha Irawan | Sistem Operasi | L3 Lab Dasar 1 [IF]
IF-6C | Chaerur Rozikin | Pengolahan Citra Digital | L3 Lab Dasar 2 [IF]
SI-2A | Taufik | Algoritma dan Struktur Data | L3 Lab Lanjut 1 [SI]
SI-4B | Azhari | Jaringan | L3 Lab Lanjut 2 [SI]
IF-2C | R. Bagus Irawan | Pancasila | L4 R.75 [IF]

=== SELASA ===

SESI 1 (07.30-09.10)
IF-2A | Tesa Nur Padilah | Aljabar Linear | L4 R.75 [IF]
IF-4A | Oman Komarudin | Rekayasa Perangkat Lunak | L4 R.76 [IF]
SI-6A | Apriade | Karya Tulis Ilmiah | L4 R.77 [SI]
IF-4F | Susilawati | Embedded Intelligent Systems | L4 R.78 [IF]
IF-6PIL B | Ratna Mufidah | Big Data | L4 R.79 [IF]
IF-6PIL C | Jajam Haerul Jaman | Big Data | L4 R.80 [IF]
IF-2B | Purwantoro | Pemrograman Berorientasi Objek | L3 Lab Dasar 1 [IF]
SI-4C | Bagja | MLTI | L3 Lab Dasar 2 [SI]
SI-2B | Nina | Communication Skill | L3 Lab Lanjut 1 [SI]
IF-4B | Yuyun Umaidah | Kecerdasan Buatan | L3 Lab Lanjut 2 [IF]
SI-6A | Agung | Komputasi Awan | L1 R.81 [SI]

